Time (Milliseconds),Input (18 C),Temp C
390838,16.41,-3.12
390889,16.41,-3.12
390939,16.41,-3.61
390990,16.41,-3.61
391042,16.41,-2.64
391093,16.41,-2.64
391144,16.41,-2.64
391195,16.41,-2.15
391246,16.41,-3.12
391298,16.41,-3.12
391349,16.41,-2.64
391400,16.41,-2.64
391451,16.41,-3.12
391501,16.41,-3.12
391553,16.41,-2.64
391604,16.41,-3.12
391655,16.41,-2.64
391706,16.41,-3.12
391757,16.41,-3.61
391809,16.41,-3.61
391860,16.41,-2.64
391911,16.41,-2.15
391962,16.41,-2.64
392013,16.41,-2.64
392064,16.41,-3.61
392115,16.41,-3.12
392166,16.41,-2.64
392217,16.41,-3.12
392268,16.41,-2.64
392320,16.41,-2.64
392371,16.41,-2.64
392422,16.41,-2.64
392473,16.41,-3.12
392524,16.41,-2.64
392576,16.41,-2.64
392626,16.41,-2.64
392677,16.41,-2.15
392728,16.41,-2.15
392779,16.41,-2.64
392830,16.41,-2.64
392882,16.41,-2.64
392933,16.41,-2.15
392984,16.41,-3.12
393035,16.41,-2.64
393086,16.41,-2.64
393138,16.41,-2.64
393188,16.41,-2.64
393239,16.41,-2.64
393290,16.41,-2.64
393341,16.41,-2.64
393393,16.41,-2.64
393444,16.41,-3.12
393495,16.41,-3.12
393546,16.41,-3.12
393597,16.41,-2.64
393649,16.41,-2.15
393700,16.41,-2.64
393750,16.41,-2.64
393801,16.41,-2.64
393852,16.41,-3.61
393904,16.41,-3.12
393955,16.41,-3.12
394006,16.41,-3.12
394057,16.41,-2.64
394108,16.41,-2.64
394160,16.41,-3.12
394211,16.41,-2.64
394262,16.41,-2.64
394312,16.41,-3.12
394363,16.41,-2.64
394415,16.41,-2.64
394466,16.41,-2.64
394517,16.41,-2.15
394568,16.41,-2.64
394619,16.41,-3.12
394671,16.41,-3.12
394722,16.41,-3.12
394773,16.41,-2.15
394824,16.41,-2.64
394874,16.41,-2.64
394926,16.41,-3.12
394977,16.41,-2.64
395028,16.41,-2.64
395079,16.41,-2.64
395130,16.41,-2.64
395182,16.41,-2.15
395233,16.41,-2.15
395284,16.41,-2.64
395335,16.41,-2.15
395386,16.41,-3.61
395437,16.41,-3.12
395488,16.41,-2.64
395539,16.41,-2.64
395590,16.41,-2.64
395641,16.41,-3.12
395693,16.41,-2.64
395744,16.41,-2.64
395795,16.41,-2.64
395846,16.41,-2.64
395897,16.41,-2.15
395949,16.41,-3.12
395999,16.41,-2.15
396050,16.41,-2.64
396101,16.41,-3.12
396152,16.41,-2.15
396204,16.41,-2.15
396255,16.41,-2.64
396306,16.41,-2.15
396357,16.41,-2.64
396408,16.41,-2.64
396460,16.41,-2.64
396511,16.41,-2.15
396561,16.41,-2.15
396612,16.41,-2.64
396663,16.41,-2.64
396715,16.41,-2.64
396766,16.41,-2.64
396817,16.41,-2.64
396868,16.41,-2.15
396919,16.41,-2.64
396971,16.41,-2.15
397022,16.41,-2.64
397073,16.41,-1.66
397124,16.41,-3.12
397174,16.41,-2.64
397225,16.41,-2.15
397277,16.41,-2.64
397328,16.41,-3.12
397379,16.41,-3.12
397430,16.41,-2.15
397481,16.41,-2.64
397533,16.41,-3.12
397584,16.41,-2.64
397635,16.41,-2.64
397686,16.41,-2.64
397736,16.41,-2.64
