Time (milliseconds),Input (-12 C),Temp (C)
68425,-12,4.2
68476,-12,4.2
68528,-12,4.2
68579,-12,4.2
68630,-12,3.71
68681,-12,4.2
68732,-12,4.69
68783,-12,3.71
68834,-12,3.71
68885,-12,4.2
68936,-12,4.2
68987,-12,4.2
69039,-12,3.71
69090,-12,4.2
69140,-12,3.71
69191,-12,3.71
69242,-12,3.71
69294,-12,3.71
69345,-12,3.71
69396,-12,3.71
69447,-12,3.71
69497,-12,3.71
69549,-12,3.22
69600,-12,3.71
69651,-12,4.2
69702,-12,3.22
69753,-12,3.71
69805,-12,3.71
69855,-12,3.71
69906,-12,3.71
69957,-12,3.71
70008,-12,3.71
70060,-12,3.71
70111,-12,3.71
70162,-12,3.71
70212,-12,3.71
70263,-12,3.71
70315,-12,3.71
70366,-12,3.22
70417,-12,3.71
70468,-12,3.71
70519,-12,3.71
70569,-12,3.71
70621,-12,3.71
70672,-12,3.22
70723,-12,3.22
70774,-12,3.71
70825,-12,4.2
70877,-12,4.2
70927,-12,3.71
70978,-12,3.22
71029,-12,3.22
